web-scraper-order,web-scraper-start-url,agencytypes,agencytypes-href,agencies,page
"1660156853-7","https://www.watereducation.org/water-related-organizationsagencies","Western States Water Agencies and Districts","https://www.watereducation.org/western-states-water-agencies-and-districts","New Mexico",""
"1660156861-54","https://www.watereducation.org/water-related-organizationsagencies","State and Federal Legislative Committees","https://www.watereducation.org/state-and-federal-legislative-committees","U.S. House Committee on Energy and Commerce",""
"1660156863-75","https://www.watereducation.org/water-related-organizationsagencies","Other California Organizations","https://www.watereducation.org/other-california-organizations-involved-water-issues","Regional Council of Rural Counties",""
"1660156878-143","https://www.watereducation.org/water-related-organizationsagencies","Federal Agencies","https://www.watereducation.org/federal-agencies-involved-water-issues","U.S. Bureau of Land Management",""
"1660156878-139","https://www.watereducation.org/water-related-organizationsagencies","Federal Agencies","https://www.watereducation.org/federal-agencies-involved-water-issues","Federal Emergency Management Agency",""
"1660156858-34","https://www.watereducation.org/water-related-organizationsagencies","Water Associations and Groups","https://www.watereducation.org/water-associations-and-groups","Mountain Counties Water Resources Association","https://www.watereducation.org/water-associations-and-groups?page=1"
"1660156855-23","https://www.watereducation.org/water-related-organizationsagencies","Water Associations and Groups","https://www.watereducation.org/water-associations-and-groups","California Municipal Utilities Association",""
"1660156875-137","https://www.watereducation.org/water-related-organizationsagencies","State Agencies in California","https://www.watereducation.org/state-agencies-california-involved-water-issues","State Lands Commission","https://www.watereducation.org/state-agencies-california-involved-water-issues?page=1"
"1660156870-101","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Sierra Club","https://www.watereducation.org/california-environmental-organizations-involved-water-issues?page=1"
"1660156861-58","https://www.watereducation.org/water-related-organizationsagencies","State and Federal Legislative Committees","https://www.watereducation.org/state-and-federal-legislative-committees","U.S. House Subcommittee on Water & Power",""
"1660156853-10","https://www.watereducation.org/water-related-organizationsagencies","Western States Water Agencies and Districts","https://www.watereducation.org/western-states-water-agencies-and-districts","Utah",""
"1660156861-55","https://www.watereducation.org/water-related-organizationsagencies","State and Federal Legislative Committees","https://www.watereducation.org/state-and-federal-legislative-committees","U.S. House Committee on Natural Resources",""
"1660156863-72","https://www.watereducation.org/water-related-organizationsagencies","Other California Organizations","https://www.watereducation.org/other-california-organizations-involved-water-issues","National Environmental Services Center",""
"1660156866-83","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Community Water Center",""
"1660156872-116","https://www.watereducation.org/water-related-organizationsagencies","State Agencies in California","https://www.watereducation.org/state-agencies-california-involved-water-issues","California Geologic Energy Management Division",""
